m,rev1,mom,vol,size,maxret,fwd,sym
2016-01,0.0,0.0,0.4029495767155023,2.8347677596477343,0.22803895064599414,-0.0018248175182482562,AAPL
2016-02,0.1578156668304294,0.0,-0.7408174515335575,2.2091315874868114,-0.5631591089951052,0.12751371115173682,AAPL
2016-03,0.8362921354309576,0.0,-0.23581511533454358,2.6614899777354633,0.29429133221089954,-0.1398459667612486,AAPL
2016-04,-2.3532458421348776,0.0,0.15152535696443817,2.832497650147378,-0.32624288470115326,0.07163053722902912,AAPL
2016-05,0.5539600074354502,0.0,0.013568686208218852,3.035927852176314,0.3434437516673309,-0.042656112576956895,AAPL
2016-06,-0.6991584472428376,0.0,-0.6225471001617507,2.9262586103179724,-0.8105594017345487,0.090032154340836,AAPL
2016-07,0.6219410159032639,0.0,0.5674422953019395,2.948367157428111,1.5870463381139295,0.02402022756005051,AAPL
2016-08,0.16747376702236583,0.0,-0.14122599729942942,3.1165208090750247,-0.16664569972699178,0.0650205761316871,AAPL
2016-09,1.3956452105747406,0.0,0.7006309391588968,3.36977376412399,0.7145544192718951,0.004636785162287493,AAPL
2016-10,0.1748648428482968,0.0,-0.5558321489987322,3.0495927302545462,-0.393095898040004,-0.021923076923076934,AAPL
2016-11,-0.8545419706971227,0.0,-0.31911412144384843,2.671101857811987,-0.3718437793116576,0.047974832874557505,AAPL
2016-12,0.28938122764801544,0.0,-0.7087279114071782,2.7306423795099306,-0.6469527115606186,0.04765478424015024,AAPL
2017-01,0.40262513514853554,0.0,-1.194619959322129,2.6605058143515854,-0.6787079568645732,0.1339541547277936,AAPL
2017-02,1.4708673703818391,-0.15438392430128237,0.4804620324507494,2.8868987255005485,1.642078138349857,0.04895767530006312,AAPL
2017-03,0.7292984242141173,-0.010487694656537285,-0.3573969525487262,2.8732286020436586,-0.22972300261828524,-0.0003011141222523106,AAPL
2017-04,-0.22424744237534083,-0.008201676180779974,-0.8223064114926957,2.4462581833176866,-0.6399100405632036,0.06777108433734935,AAPL
2017-05,0.6836536063656052,0.5144320089463187,0.033985603272809195,2.949378477810086,0.1600389035413372,-0.056981664315937985,AAPL
2017-06,-1.1417959774210413,0.6984583047801118,0.31264991120027935,2.594745246271215,0.06853102987856993,0.032306311696081336,AAPL
2017-07,0.10930064022641164,0.5656804657569549,-0.6715923588574233,2.1898285435100946,-0.5943281737501759,0.10692552883222262,AAPL
2017-08,2.346162542478043,0.48789510637838446,0.9477552507575713,2.9591043157283714,2.065569882613235,-0.060209424083769725,AAPL
2017-09,-1.6022234100805284,0.9316847277248953,-0.1779771666065709,3.0472258376585533,-0.3705387798798454,0.09693593314763249,AAPL
2017-10,0.8591035612478778,0.2601975574061744,-0.07106964743751663,2.4600414924665537,0.166592941538712,0.020060944641950185,AAPL
2017-11,-0.28726273411160147,0.43908421131343817,-0.07756965805698081,2.734102162631136,-0.1440864177679452,-0.015185461787403542,AAPL
2017-12,-0.7877920422026681,0.8835704248376833,-0.35286629758826576,2.730217178662989,-0.42773510745156007,-0.010616784630940401,AAPL
2018-01,-1.0207696949012188,0.702197565873008,-0.5650660882616306,2.5869111733663996,-0.6876022303821899,0.06796116504854366,AAPL
2018-02,1.7028231627492396,0.0985382084008011,0.04919035874608877,2.7244114979151393,0.5023618776493705,-0.05789473684210511,AAPL
2018-03,-0.4076028998308498,0.10750733210054461,-0.30992749008007014,2.2280105096959057,0.7406009580154826,-0.014982224479431316,AAPL
2018-04,-0.4470879310757696,-0.0988616413815306,-0.34157269264389645,2.3658745730188966,-0.87254024201434,0.13508636246455286,AAPL
2018-05,1.448589230111423,-0.1503282053701849,0.14988380112113953,2.6475371389998994,1.1291727266883969,-0.009538950715421324,AAPL
2018-06,-0.22755793515301526,0.019730490478597613,-0.792531624857996,2.2368676751422623,-0.5696202936525286,0.027975235037835278,AAPL
2018-07,-0.1258076989248572,0.22621448364185887,-0.6450253592988311,1.9085310868640184,-0.7315280625013907,0.20053535578853454,AAPL
2018-08,2.3568966068779194,0.2622551336700387,0.37268255790235244,2.681664425956299,1.2705015594309854,-0.008175399479747214,AAPL
2018-09,-0.3110150321184308,0.43782492474385165,0.15536730558208703,2.7032983700307693,-0.0336448725844924,-0.0305357811914575,AAPL
2018-10,0.36668549337535616,0.6972673089248529,-0.22219756503914825,2.517373167790502,-0.2501606298482405,-0.18125603864734308,AAPL
2018-11,-2.3830137693451787,0.9236181357715678,0.8522673460318266,2.977268834468397,-0.05973889352676264,-0.11659192825112108,AAPL
2018-12,-0.7012057751009864,-0.1817359254127729,0.3997350303297529,2.668112897874683,0.7454825424417096,0.055036067325674676,AAPL
2019-01,-0.3204037384173155,-0.2134637134500809,1.066426263744566,2.5071412592482543,0.6077217763459765,0.04482147379083301,AAPL
2019-02,0.18371508945533005,0.06307465465458333,-0.3549451145023808,2.3726734902611453,0.14269353204434337,0.09718856034900636,AAPL
2019-03,1.5601155127611612,-0.37771858349840653,0.03617386820268039,2.4434528570442278,0.4689212453139028,0.0563286944996686,AAPL
2019-04,0.0841961511568423,0.06725999652538442,-0.5924491036007241,2.3189451821288865,-0.4151147437099255,-0.12421580928481801,AAPL
2019-05,-0.631352350197809,0.20678063987535203,1.0895359239429785,2.7752992637838485,1.7349490408182928,0.1303724928366763,AAPL
2019-06,0.936717056151482,-0.37595230310714006,-0.19660878601626822,2.458584419586709,-0.040737272382064316,0.07646810308407259,AAPL
